values33,values34,values35
Calculated General Values,,
Pipe Drag Diameter,,TD
Inside Diameter,,ID
Cross Sectional Area,,A
"Steel Area ",,Ap
MOI of Steel Pipe,,Ip
MOI of Concrete Coating,,ICC
Current Flow Velocity Ratio Sig. Wave (2.4.3),,a
Mass of Pipe,,mp
Internal Liner Mass,,mil
Corrosion Coating Mass,,mce
Concrete Coating Mass,,mcc
Marine Growth Mass,,mmg
Content Mass,,mcon
Total Mass,,mt
"Buoyancy ",,B
Submerged Weight of Pipe,,Ws
Span Gap Ratio,,e/TD
Relative Trench Depth (4.4.7),,D/D
Added Mass Coefficient,,CA
Added Mass Pipe,,ma
Effective Mass (6.6.6),,me
External Pressure,,Pe
Pressure Difference,,Dp
Internal Area (Bore),,Ai
External Pipe Area,,Ae
Pipe Cross Section Area,,Ap
Temperature Difference,,DT
Effective Tension (6.5.4),,Seff
Total Damping Ratio,,zT
Stability Parameter (4.1.8 & 4.3.9),,Ks
,,Ksd
Keulegan Carpenter Number,,KC
Keulegan Carpenter Number Max,,KCmax
,,
VIV Avoidance Criteria,,
Reduction Factor (3.4.1),,RD
Reduction Function (3.4.3),,RC
100 year wave & Current,,
Peak-enhancement Factor (3.3.3),,�
Pierson-Moskowitz Spectrum (3.3.3),,?
Reference Period (3.3.6),,Tn
,,
,,
,,Tu
,,Us
,,U(zrc)
,,zr
,,z0
,,z
10 year wave & Current,,
Peak-enhancement Factor (3.3.3),,�
Pierson-Moskowitz Spectrum (3.3.3),,?
Reference Period (3.3.6),,Tn
,,
,,Us
,,U(zrc)
,,zr
,,z0
,,z
100year Steady Current Velocity,,"Uc,100-year"
10year Steady Current Velocity,,"Uc,10-year"
100year Wave Induced Velocity,,"Uw,100-year"
10year Wave Induced Velocity,,"Uw,10-year"
Representative Flow Condition,,Uextreme
Inline Onset Value for Reduced Velocity,,"VILR,onset"
In-line Lowest Natural Frequencies (2.3.3),,"fIL,1"
Cross Flow  Lowest Natural Frequencies (2.3.3),,"fCF,1"
,,
Screening Fatigue Criteria,,
1 year wave & Current,,
Peak-enhancement Factor (3.3.3),,�
Pierson-Moskowitz Spectrum (3.3.3),,?
Reference Period (3.3.6),,Tn
,,
,,
,,Tu
,,Us
,,U(zrc)
,,zr
,,z0
,,z
1year Steady Current Velocity,,"Uc,1-year"
1year Wave Induced Velocity,,"Uw,1-year"
Seabed Correction Factor,,"yproxi,onset"
Trench Correction Factor,,"ytrench,onset"
Cross Flow Onset Value for Reduced Velocity,,"VCFR,onset"
In-line Natural Frequency (2.4.3),,
,,
Cross-flow Natural Frequency (2.4.4),,
,,
Screening Fatigue Criteria,In-line,
,Cross-flow,
,,
VIV Inline Span Length,,
Euler Buckling Load (6.8.2),,PE
